# Input file for fr-burgers-turbulent.py program
N                  160 # Number of mesh points
NREF                 0 # Number of refinement levels of the mesh
P                    3 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.000080 # Viscosity
INISOL       TURBULENT # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000050 # Time step
TSIM          0.500000 # Maximum number of iterations
NDUMP               10 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                   FALSE

BEGIN_SOLUTION
6.900855773443395e-01 1.004261679785446e+00
6.918238993710693e-01 1.003477114236311e+00
6.918238993710693e-01 1.003478248997386e+00
6.935622213977990e-01 1.002558913538595e+00
6.963748855204401e-01 1.000957032638595e+00
6.981132075471699e-01 9.999991823226372e-01
6.981132075471699e-01 1.000002440471055e+00
6.998515295738996e-01 9.991372449366082e-01
7.026641936965408e-01 9.980497869882435e-01
7.044025157232705e-01 9.975921211452375e-01
7.044025157232705e-01 9.975925720940151e-01
7.061408377500002e-01 9.972980071803846e-01
7.089535018726414e-01 9.971265051002551e-01
7.106918238993711e-01 9.971718853678503e-01
7.106918238993711e-01 9.971713008695549e-01
7.124301459261009e-01 9.973025764027010e-01
7.152428100487420e-01 9.976327439914485e-01
7.169811320754718e-01 9.978777166946949e-01
7.169811320754718e-01 9.978772373645047e-01
7.187194541022015e-01 9.981325166994411e-01
7.215321182248426e-01 9.985290058310523e-01
7.232704402515724e-01 9.987470069335195e-01
7.232704402515724e-01 9.987463669815518e-01
7.250087622783021e-01 9.989338512450352e-01
7.278214264009433e-01 9.991549361225706e-01
7.295597484276730e-01 9.992385283571320e-01
7.295597484276730e-01 9.992379466181465e-01
7.312980704544028e-01 9.992833726969920e-01
7.341107345770439e-01 9.992898431782905e-01
7.358490566037736e-01 9.992707811462183e-01
7.358490566037736e-01 9.992711655366157e-01
7.375873786305034e-01 9.992512483832022e-01
7.404000427531445e-01 9.992624886937984e-01
7.421383647798743e-01 9.993214366983817e-01
7.421383647798743e-01 9.993224689063580e-01
7.438766868066040e-01 9.994371470093419e-01
7.466893509292452e-01 9.997695525782088e-01
7.484276729559749e-01 1.000068879852706e+00
7.484276729559749e-01 1.000069494540715e+00
7.501659949827046e-01 1.000436905145246e+00
7.529786591053458e-01 1.001154721191778e+00
7.547169811320755e-01 1.001651017844310e+00
7.547169811320755e-01 1.001650818757382e+00
7.564553031588053e-01 1.002166376573007e+00
7.592679672814464e-01 1.002988474178224e+00
7.610062893081762e-01 1.003457010960826e+00
7.610062893081762e-01 1.003455966344475e+00
7.627446113349059e-01 1.003871891697703e+00
7.655572754575470e-01 1.004386181307643e+00
7.672955974842768e-01 1.004590220259893e+00
7.672955974842768e-01 1.004589184678957e+00
7.690339195110065e-01 1.004700963114083e+00
7.718465836336477e-01 1.004689927897836e+00
7.735849056603774e-01 1.004583937135410e+00
7.735849056603774e-01 1.004584507789456e+00
7.753232276871072e-01 1.004422458778052e+00
7.781358918097483e-01 1.004099656761484e+00
7.798742138364780e-01 1.003894470822861e+00
7.798742138364780e-01 1.003895730864223e+00
7.816125358632078e-01 1.003705806224186e+00
7.844251999858489e-01 1.003461964941397e+00
7.861635220125787e-01 1.003350326161321e+00
7.861635220125787e-01 1.003350281845765e+00
7.879018440393084e-01 1.003261787920191e+00
7.907145081619495e-01 1.003135080064907e+00
7.924528301886793e-01 1.003043663791219e+00
7.924528301886793e-01 1.003042629116594e+00
7.941911522154090e-01 1.002924995908044e+00
7.970038163380502e-01 1.002646998008969e+00
7.987421383647799e-01 1.002415744047989e+00
7.987421383647799e-01 1.002415428150785e+00
8.004804603915097e-01 1.002140541138406e+00
8.032931245141508e-01 1.001622269326160e+00
8.050314465408805e-01 1.001275341139067e+00
8.050314465408805e-01 1.001275660880917e+00
8.067697685676103e-01 1.000923818282087e+00
8.095824326902514e-01 1.000378326887482e+00
8.113207547169812e-01 1.000072790986866e+00
8.113207547169812e-01 1.000072996603587e+00
8.130590767437109e-01 9.998027183117217e-01
8.158717408663521e-01 9.994603527932930e-01
8.176100628930818e-01 9.993169831706106e-01
8.176100628930818e-01 9.993172804055958e-01
8.193483849198115e-01 9.992320147455326e-01
8.221610490424527e-01 9.992283196853020e-01
8.238993710691824e-01 9.993118291871467e-01
8.238993710691824e-01 9.993120883876684e-01
8.256376930959122e-01 9.994614620870368e-01
8.284503572185533e-01 9.998398009237357e-01
8.301886792452831e-01 1.000152299885281e+00
8.301886792452831e-01 1.000152441095142e+00
8.319270012720128e-01 1.000519154870965e+00
8.347396653946539e-01 1.001212016746699e+00
8.364779874213837e-01 1.001689848379645e+00
8.364779874213837e-01 1.001689784786129e+00
8.382163094481134e-01 1.002195756148981e+00
8.410289735707546e-01 1.003051032443547e+00
8.427672955974843e-01 1.003588267839639e+00
8.427672955974843e-01 1.003587952402831e+00
8.445056176242141e-01 1.004121785847798e+00
8.473182817468552e-01 1.004957421678131e+00
8.490566037735849e-01 1.005447685085363e+00
8.490566037735849e-01 1.005447339639659e+00
8.507949258003147e-01 1.005912878240103e+00
8.536075899229558e-01 1.006607481604925e+00
8.553459119496856e-01 1.007001862107439e+00
8.553459119496856e-01 1.007001726795671e+00
8.570842339764153e-01 1.007372420622434e+00
8.598968980990565e-01 1.007932954004437e+00
8.616352201257862e-01 1.008264735781769e+00
8.616352201257862e-01 1.008265101604900e+00
8.633735421525159e-01 1.008593451945751e+00
8.661862062751571e-01 1.009137396885669e+00
8.679245283018868e-01 1.009489969788355e+00
8.679245283018868e-01 1.009490787982226e+00
8.696628503286166e-01 1.009859643097131e+00
8.724755144512577e-01 1.010495071716144e+00
8.742138364779874e-01 1.010902609647812e+00
8.742138364779874e-01 1.010902984198986e+00
8.759521585047172e-01 1.011310130872773e+00
8.787648226273583e-01 1.011930993126906e+00
8.805031446540881e-01 1.012260402689068e+00
8.805031446540881e-01 1.012259446504999e+00
8.822414666808178e-01 1.012522732064377e+00
8.850541308034590e-01 1.012748101152440e+00
8.867924528301887e-01 1.012736240096996e+00
8.867924528301887e-01 1.012734536197966e+00
8.885307748569184e-01 1.012593366515350e+00
8.913434389795596e-01 1.012073901025041e+00
8.930817610062893e-01 1.011587699776401e+00
